"Recipient Company","Parent Company","Award Date","Award Type","Grant Amount","Face Loan Amount","Awarding Agency","Program Name","Award Details","Data Source for Award","Facility Name","Facility State","Facility City","Notes","Ownership Structure","Stock Ticker Symbol","Parent Headquarters State","Parent Headquarters Country","Parent Sector","Parent Industry","Parent Total Workforce at end of 2019","Parent Latest Workforce Size","Parent Employment-related Penalties Since 2010","Parent Federal Corporate Income Tax Rate","Parent Total Federal State and Local Subsidies Since 2010","Parent Government-contracting-related Penalties Since 2010","Parent Environmental / Healthcare / Safety Penalties Since 2010","Parent Consumer Protection / Financial / Competition-related Penaties Since 2010","Parent Ratio of CEO Pay to that of Average Worker","CEO Pay","Median Worker Pay","Parent TARP Loans Received During Financial Crisis"
"Cep America Llc","Cep America Llc","20200506","grant","$1176556","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Indiana","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Cepamerica Illinois Llp","Cepamerica Illinois Llp","20200506","grant","$1500037","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Illinois","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Cg Healthcare Llc","Cg Healthcare Llc","20200506","grant","$631272","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Cgh Medical Center","Cgh Medical Center","20200506","grant","$4575790","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Illinois","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Cgsr Inc","Cgsr Inc","20200506","grant","$746189","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Ch Allied Services","Ch Allied Services","20200506","grant","$7295208","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Missouri","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Ch Hospital Of Allentown","Ch Hospital Of Allentown","20200506","grant","$2524844","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"CHA Cambridge Hospital","CHA Cambridge Hospital","20200508","grant","$40721351","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","Massachusetts","USA","healthcare services","hospitals","0","0","0","","0","0","0","0","","$0","$0","0"
"Cha Hollywood Medical Center Lp","Cha Hollywood Medical Center Lp","20200506","grant","$3609477","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chadron Community Hospital Corp.","Chadron Community Hospital Corp.","20200506","grant","$503232","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Nebraska","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chambersburg Health Services","Chambersburg Health Services","20200506","grant","$952340","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Champlain Valley Hematology Oncology Pc","Champlain Valley Hematology Oncology Pc","20200506","grant","$543322","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Vermont","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Champlain Valley Physicians Hospital Medical Center","Champlain Valley Physicians Hospital Medical Center","20200506","grant","$6938176","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chapin Acquisition I Llc","Chapin Acquisition I Llc","20200506","grant","$774670","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chapman Global Medical Center Inc","Chapman Global Medical Center Inc","20200506","grant","$899116","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Charles Retina Institute Pc","Charles Retina Institute Pc","20200506","grant","$647060","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Arkansas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Charles River Medical Associates","Charles River Medical Associates","20200506","grant","$883257","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Massachusetts","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Charleston Area Medical Center","Charleston Area Medical Center","20200506","grant","$17376553","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","West Virginia","USA","healthcare services","healthcare services","0","0","0","","0","2500000","6000","0","","$0","$0","0"
"Charleston Hospital","Charleston Hospital","20200506","grant","$1240626","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","West Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Charleston Medical Investors","Charleston Medical Investors","20200506","grant","$505474","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","South Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Charleston Neurosciences Institute","Charleston Neurosciences Institute","20200506","grant","$1370722","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","South Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Charlie's Holdings Inc.","Charlie's Holdings Inc.","20200430","loan","$0","$866361","Small Business Administration","Paycheck Protection Program","","https://www.sec.gov/Archives/edgar/data/1134765/000141588920001150/form8k-05082020_090513.htm",""," ","","","publicly traded","CHUC","California","USA","tobacco","e-cigarettes","59","0","0","","0","0","0","0","","$830330","$0","0"
"Charlotte Eye Ear Nose & Throat Associates Pa","Charlotte Eye Ear Nose & Throat Associates Pa","20200506","grant","$2536184","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","North Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Charlotte Heart And Vascular Institute Pa","Charlotte Heart And Vascular Institute Pa","20200506","grant","$501786","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Florida","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chase Brexton Health Services Inc","Chase Brexton Health Services Inc","20200506","grant","$1757266","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Maryland","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chattanooga Hamilton County Hospital Authority","Chattanooga Hamilton County Hospital Authority","20200506","grant","$13911952","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Tennessee","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chattanooga Orthopaedic Group Pc","Chattanooga Orthopaedic Group Pc","20200506","grant","$737785","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Georgia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chatuge Regional Hospital Inc","Chatuge Regional Hospital Inc","20200506","grant","$512968","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Georgia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Che Senior Psychological Services","Che Senior Psychological Services","20200506","grant","$1090706","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"VITAS Healthcare","Chemed","20200410","grant","$80200000","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://www.sec.gov/ix?doc=/Archives/edgar/data/19584/000001958420000023/che-20200331x10q.htm",""," ","","","publicly traded","CHE","Ohio","USA","healthcare services","hospice care; drain cleaning services","16641","0","24774330","","57152","75200000","6550","0","226 to 1","$10019850","$44423","0"
"Chenango Memorial Hospital","Chenango Memorial Hospital","20200506","grant","$690924","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Cherokee Nation","Cherokee Nation","20200506","grant","$2393398","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Oklahoma","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Cherry County Hospital","Cherry County Hospital","20200506","grant","$520507","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Nebraska","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chesapeake Eye Care & Laser Center Llc.","Chesapeake Eye Care & Laser Center Llc.","20200506","grant","$1027373","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Maryland","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chesapeake Hospital Authority","Chesapeake Hospital Authority","20200506","grant","$6363594","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chesapeake Oncology Hematology Assoc","Chesapeake Oncology Hematology Assoc","20200506","grant","$1374187","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Maryland","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chesapeake Open Mri Llc","Chesapeake Open Mri Llc","20200506","grant","$569301","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","South Carolina","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chesapeake Rehab Equipment Inc.","Chesapeake Rehab Equipment Inc.","20200506","grant","$617443","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chesapeake Urology Associates Llc","Chesapeake Urology Associates Llc","20200506","grant","$3532488","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Delaware","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Cheshire Medical Center","Cheshire Medical Center","20200506","grant","$4427460","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","New Hampshire","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chester County Hospital","Chester County Hospital","20200506","grant","$6214148","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chestnut Hill Hospital Llc","Chestnut Hill Hospital Llc","20200506","grant","$2609857","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chestnut Hill Hospital (AKA Chestnut Hill Health System)","Chestnut Hill Hospital Llc","20200508","grant","$10052815","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","privately held","","Pennsylvania","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Cheyenne County Hospital Association Inc","Cheyenne County Hospital Association Inc","20200506","grant","$1023946","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Nebraska","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Cheyenne Regional Physicians Group Llc","Cheyenne Regional Physicians Group Llc","20200506","grant","$536939","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Wyoming","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chhp Holdings Ii","Chhp Holdings Ii","20200506","grant","$1058103","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chi Health Connect At Home - Fargo","Chi Health Connect At Home - Fargo","20200506","grant","$511092","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","North Dakota","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chi Living Communities","Chi Living Communities","20200506","grant","$546403","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Wisconsin","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chi National Home Care","Chi National Home Care","20200506","grant","$3181048","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Kentucky","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chi St Vincent Hospital Hot Springs","Chi St Vincent Hospital Hot Springs","20200506","grant","$5161720","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Arkansas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chi St Vincent Medical Group Hot Springs","Chi St Vincent Medical Group Hot Springs","20200506","grant","$1491339","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Arkansas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chi St. Luke'S Health Baylor College Of Medicine Medical Center","Chi St. Luke'S Health Baylor College Of Medicine Medical Center","20200506","grant","$18423995","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Texas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chickasaw Nation Division Of Health Chickasaw Nation Medical Center","Chickasaw Nation Division Of Health Chickasaw Nation Medical Center","20200506","grant","$1530169","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Oklahoma","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chicot Memorial Medical Center","Chicot Memorial Medical Center","20200506","grant","$555052","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Arkansas","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Children's Hospital Colorado","Children's Hospital Colorado","20200506","grant","$22056949","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Colorado","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Children'S Hospital Corporation","Children'S Hospital Corporation","20200506","grant","$26056660","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Massachusetts","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Childrens Hospital Inc","Childrens Hospital Inc","20200506","grant","$6278635","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Louisiana","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Children'S Hospital Medical Center Of Akron","Children'S Hospital Medical Center Of Akron","20200506","grant","$16563539","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Ohio","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Childrens Hospital Of The Kings Daughters Inc","Childrens Hospital Of The Kings Daughters Inc","20200506","grant","$8807721","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Virginia","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Children'S Mercy Hospital","Children'S Mercy Hospital","20200506","grant","$28153087","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","Missouri","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Children'S Specialized Hospital","Children'S Specialized Hospital","20200506","grant","$2930980","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","New Jersey","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chilton Medical Center","Chilton Medical Center","20200508","grant","$21227122","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","New Jersey","USA","healthcare services","hospitals","0","0","0","","0","0","0","0","","$0","$0","0"
"Chinatown Cardiology","Chinatown Cardiology","20200506","grant","$544379","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","New York","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chinese Hospital Association","Chinese Hospital Association","20200506","grant","$1670048","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","non-profit","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chippewa County War Memorial Hospital Inc.","Chippewa County War Memorial Hospital Inc.","20200506","grant","$2021523","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Michigan","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chiricahua Community Health Centers","Chiricahua Community Health Centers","20200506","grant","$1456023","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Arizona","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Chlb Llc","Chlb Llc","20200506","grant","$1098966","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","California","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Choctaw Nation Of Oklahoma","Choctaw Nation Of Oklahoma","20200506","grant","$1565789","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Oklahoma","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Choice Medical Healthcare","Choice Medical Healthcare","20200506","grant","$563631","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Alabama","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
"Christ Hospital","Christ Hospital","20200508","grant","$31704081","$0","Health and Human Services Department","Provider Relief Fund COVID-19 High-Impact Payments","","https://data.cdc.gov/Administrative/Provider-Relief-Fund-COVID-19-High-Impact-Payments/b58h-s9zx",""," ","","","non-profit","","New Jersey","USA","healthcare services","hospitals","0","0","0","","0","0","0","0","","$0","$0","0"
"Christian Care Communities","Christian Care Communities","20200506","grant","$665350","$0","Health and Human Services Department","Public Health and Social Services Emergency Fund (Provider Relief Fund)","","https://data.cdc.gov/Administrative/HRSA-Provider-Relief-Fund-General-Allocation/kh8y-3es6/data",""," ","","","privately held","","Kentucky","USA","healthcare services","healthcare services","0","0","0","","0","0","0","0","","$0","$0","0"
